Vertex Index (0-based) | Vertex Index (1-based) | X | Y | Z | U | V
276 | 277 | 5.253307 | 3.881582 | 3.363159 | 0.742247 | 0.685493
277 | 278 | 1.718698 | 0.974609 | 4.558359 | 0.598631 | 0.545021
278 | 279 | 1.608635 | -0.942516 | 5.814193 | 0.570338 | 0.451425
279 | 280 | 1.651267 | -0.610868 | 5.581319 | 0.578632 | 0.466377
280 | 281 | 4.765501 | -0.701554 | 3.534632 | 0.723087 | 0.467946
281 | 282 | 0.478306 | 0.295766 | 7.101013 | 0.516446 | 0.500361
282 | 283 | 3.734964 | 4.508230 | 4.550454 | 0.662801 | 0.717082
283 | 284 | 4.588603 | 4.302037 | 4.048484 | 0.703624 | 0.706729
284 | 285 | 6.279331 | 6.615427 | 1.425850 | 0.830705 | 0.806186
285 | 286 | 1.220941 | 4.142165 | 5.106035 | 0.552386 | 0.697432
286 | 287 | 2.193489 | 3.100317 | 4.000575 | 0.607610 | 0.646112
287 | 288 | 3.102642 | -4.352984 | 4.095905 | 0.645429 | 0.303293
288 | 289 | 6.719682 | -4.788645 | -1.745401 | 0.932695 | 0.269895
289 | 290 | 1.193824 | -1.306795 | 5.737747 | 0.557261 | 0.427174
290 | 291 | 0.729766 | -1.593712 | 5.833208 | 0.542902 | 0.415208
291 | 292 | 2.456206 | -4.342621 | 4.283884 | 0.618026 | 0.305289
292 | 293 | 2.204823 | -4.304508 | 4.162499 | 0.607591 | 0.305797
293 | 294 | 4.985894 | 4.802461 | 3.751977 | 0.722943 | 0.728037
294 | 295 | 1.592294 | -1.257709 | 5.456949 | 0.577414 | 0.436833
295 | 296 | 2.644548 | 4.524654 | 4.921559 | 0.614083 | 0.718613
296 | 297 | 2.760292 | 5.100971 | 5.015990 | 0.616907 | 0.744114
297 | 298 | 3.523964 | 8.005976 | 3.729163 | 0.668509 | 0.880086
298 | 299 | 5.599763 | 5.715470 | 2.724259 | 0.770092 | 0.767979
299 | 300 | 3.063932 | 6.566144 | 4.529981 | 0.635536 | 0.810751
300 | 301 | 5.720968 | 4.254584 | 2.830852 | 0.770391 | 0.700444
301 | 302 | 6.374393 | 4.785590 | 1.591691 | 0.826722 | 0.721245
302 | 303 | 0.672728 | -3.688016 | 5.737804 | 0.527121 | 0.333802
303 | 304 | 1.262560 | -3.787691 | 5.417779 | 0.553172 | 0.331473
304 | 305 | 1.732553 | -3.952767 | 5.000579 | 0.577238 | 0.326110
305 | 306 | 1.043625 | -1.464973 | 5.662455 | 0.554692 | 0.419934
306 | 307 | 2.321234 | -4.329069 | 4.258156 | 0.611897 | 0.306039
307 | 308 | 2.056846 | -4.477671 | 4.520883 | 0.596961 | 0.293460
308 | 309 | 2.153084 | -4.276322 | 4.038093 | 0.596371 | 0.306047
309 | 310 | 0.946874 | -1.035249 | 6.512274 | 0.539958 | 0.442861
310 | 311 | 1.469132 | -4.036351 | 4.604908 | 0.568842 | 0.307634
311 | 312 | 1.024340 | -3.989851 | 4.926693 | 0.547818 | 0.307634
312 | 313 | 0.533422 | -3.993222 | 5.138202 | 0.524613 | 0.307634
313 | 314 | 0.769720 | -6.095394 | 4.985883 | 0.534090 | 0.220859
314 | 315 | 0.699606 | -5.291850 | 5.448304 | 0.527671 | 0.263774
315 | 316 | 0.669687 | -4.949770 | 5.509612 | 0.526913 | 0.282143
316 | 317 | 0.630947 | -4.695101 | 5.449371 | 0.526878 | 0.295374
317 | 318 | 0.583218 | -4.517982 | 5.339869 | 0.526967 | 0.304722
318 | 319 | 1.537170 | -4.423206 | 4.745470 | 0.572058 | 0.304722
319 | 320 | 1.615600 | -4.475942 | 4.813632 | 0.573521 | 0.296460
320 | 321 | 1.729053 | -4.618680 | 4.854463 | 0.576838 | 0.288154
321 | 322 | 1.838624 | -4.828746 | 4.823737 | 0.581691 | 0.279937
322 | 323 | 2.368250 | -3.106237 | 4.868096 | 0.609945 | 0.360090
323 | 324 | 7.542244 | -1.049282 | -2.431321 | 0.986046 | 0.439966
324 | 325 | 1.826614 | -4.399531 | 4.399021 | 0.586800 | 0.304600
325 | 326 | 1.929558 | -4.411831 | 4.497052 | 0.590372 | 0.298177
326 | 327 | 0.597442 | -2.013686 | 5.866456 | 0.531915 | 0.398463
327 | 328 | 1.405627 | -1.714196 | 5.241087 | 0.577268 | 0.414065
328 | 329 | 0.662449 | -1.819321 | 5.863759 | 0.536915 | 0.406214
329 | 330 | 2.342340 | 0.572222 | 4.294303 | 0.627543 | 0.526648
330 | 331 | 3.327324 | 0.104863 | 4.113860 | 0.665586 | 0.504049
331 | 332 | 1.726175 | -0.919165 | 5.273355 | 0.588354 | 0.453138
332 | 333 | 5.133204 | 7.485602 | 2.660442 | 0.757824 | 0.852324
333 | 334 | 4.538641 | 6.319907 | 3.683424 | 0.709250 | 0.798492
334 | 335 | 3.986562 | 5.109487 | 4.466315 | 0.672684 | 0.743419
335 | 336 | 2.169681 | -5.440433 | 4.455874 | 0.600409 | 0.250995
336 | 337 | 1.395634 | 5.011963 | 5.316032 | 0.558266 | 0.738328
337 | 338 | 1.619500 | 6.599217 | 4.921106 | 0.570304 | 0.812129
338 | 339 | 1.891399 | 8.236377 | 4.274997 | 0.588166 | 0.890956
339 | 340 | 4.195832 | 2.235205 | 3.375099 | 0.711045 | 0.601048
340 | 341 | 5.733342 | 1.411738 | 2.431726 | 0.781070 | 0.564595
341 | 342 | 1.859887 | 2.355757 | 3.843181 | 0.587247 | 0.601068
342 | 343 | 4.988612 | 3.074654 | 3.083858 | 0.742870 | 0.644554
343 | 344 | 1.303263 | 1.416453 | 4.831091 | 0.572156 | 0.562348
344 | 345 | 1.305757 | -0.672779 | 6.415959 | 0.551868 | 0.463430
345 | 346 | 6.465170 | 0.937119 | 1.689873 | 0.821442 | 0.542444
346 | 347 | 5.258659 | 0.945811 | 2.974312 | 0.752702 | 0.542818
